OBJECTID,GEOID10,NAME10,PLNG_REGION,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,Urban,Rural,LA1and10,LAhalfand10,LA1and20,LATracts_half,LATracts1,LATracts10,LATracts20,HUNVFlag,GroupQuartersFlag,OHU2010,NUMGQTRS,PCTGQTRS,LowIncomeTracts,POP2010,UATYP10,lapophalf,lapophalfshare,lalowihalf,lalowihalfshare,lakidshalf,lakidshalfshare,laseniorshalf,laseniorshalfshare,lahunvhalf,lahunvhalfshare,lapop1,lapop1share,lalowi1,lalowi1share,lakids1,lakids1share,laseniors1,laseniors1share,lahunv1,lahunv1share,GlobalID
11,13045910701,9107.01,ARC 20,1,1,1,0,1,0,1,1,1,1,1,0,0,0,0,2986,783,0.0853778,1,9171,C,8300.926951,0.90512779,3162.535149,0.34484082,2146.934966,0.91048981,659.1885375,0.83230876,45.0702507,0.01509385,7485.067673,0.81616701,2543.83395,0.27737803,1977.680169,0.83871084,594.9154422,0.75115586,30.8035241,0.01031598,{32BEB674-8E4A-474B-A8F6-C06484083E4A}
12,13045910703,9107.03,ARC 20,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,2960,127,0.0159308,1,7972,C,7306.112659,0.91647173,3265.82232,0.40966161,1961.745124,0.9359471,875.190999,0.86566864,232.1989602,0.07844559,5172.373683,0.64881757,2320.438722,0.2910736,1476.544574,0.70445829,485.791246,0.48050568,109.6101272,0.03703045,{FCA1D62F-E2E6-48CC-A46E-A3225CE8740D}
13,13045910600,9106,ARC 20,0,0,0,0,1,0,1,1,1,1,1,0,0,1,0,2006,126,0.0226293,0,5568,C,5313.673321,0.95432351,1533.831557,0.27547262,1458.765543,0.9590832,647.4399546,0.95775141,107.1936281,0.0534365,3340.362462,0.59992142,933.166542,0.16759457,960.3971205,0.6314248,437.6595891,0.64742543,77.61211579,0.03868999,{46F3C5F8-98F0-4592-A22A-58CA446EB3A4}
14,13045910501,9105.01,ARC 20,1,1,1,0,1,0,1,1,1,1,1,0,0,0,0,2286,2370,0.2670122,1,8876,C,8454.760534,0.95254175,4772.025568,0.53763244,1216.939047,0.90076909,391.7491761,0.92831558,76.66859657,0.03353832,7600.754696,0.85632658,4398.467251,0.49554611,977.4698235,0.72351578,314.4427034,0.74512489,66.28789693,0.02899733,{3FD77FEB-E21C-4064-AEFA-4ACD91962F9F}
15,13045910702,9107.02,ARC 20,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,2909,0,0,0,7738,C,7738.000019,1,1102.178963,0.14243719,1975.000012,1.00000001,1011.000003,1,0,0,7738.000019,1,1102.178963,0.14243719,1975.000012,1.00000001,1011.000003,1,0,0,{A76BC087-4EE7-4F4F-ADA1-9C131C970BCE}
16,13045911200,9112,ARC 20,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,2201,21,0.0036662,1,5728,R,5460.923005,0.95337343,2208.384348,0.38554196,1267.699181,0.95244116,827.0918028,0.94416872,117.2857472,0.05328748,4651.603368,0.81208159,1781.300343,0.31098121,1041.457471,0.78246241,698.2565756,0.79709655,102.5797934,0.04660599,{D5A918BA-4B0B-40DC-89E2-44A46B186A30}
17,13045910400,9104,ARC 20,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1302,0,0,1,3281,R,2976.41094,0.90716578,1193.680967,0.3638162,676.8186527,0.90604907,507.8680232,0.91015775,96.66541788,0.07424379,2345.028913,0.71472993,858.9794457,0.26180416,522.2616966,0.69914551,402.7819249,0.72183141,76.47436458,0.05873607,{1A2F1C55-CC2D-471E-977C-C4A8A10D5F59}
18,13113140207,1402.07,ARC 10,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,2208,0,0,0,5530,U,4737.417269,0.85667582,138.0379807,0.02496166,1184.89315,0.88358922,661.3233093,0.90344714,32.88560275,0.01489384,3105.415489,0.56155795,81.87453209,0.01480552,775.3470648,0.57818573,443.8088786,0.60629628,8.78247646,0.00397757,{4CE75EC9-6C84-4B61-95CB-0559E9674103}
19,13113140208,1402.08,ARC 10,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,2749,118,0.0152988,0,7713,U,6536.637064,0.84748309,1006.024462,0.13043232,1964.863411,0.84546618,669.2360417,0.91425689,22.71964435,0.00826469,3251.804581,0.42160049,528.048979,0.0684622,994.0926641,0.42775072,272.6414802,0.37246104,11.68103918,0.0042492,{C851E0E2-AAB8-4426-996B-6C5C2B86EBC5}
20,13113140303,1403.03,ARC 10,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1702,0,0,0,4550,U,3984.209043,0.87565034,526.7399813,0.11576703,1060.706965,0.85887204,551.9520237,0.92454275,40.04378821,0.02352749,1900.698065,0.41773584,259.8168478,0.0571026,476.4349349,0.38577728,307.160762,0.51450714,20.31847836,0.011938,{F2CD1FBD-EB46-4D48-8ED2-E03103BB9314}
21,13113140304,1403.04,ARC 10,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,2231,0,0,0,5757,U,4915.826453,0.85388683,912.2471859,0.15845878,1248.358688,0.86691576,641.9731529,0.80046528,10.76036119,0.00482311,3217.267229,0.5588444,663.8668004,0.11531471,855.4732543,0.59407865,381.6678533,0.47589508,9.13107906,0.00409282,{8E4E4DC8-A090-4CC8-AA69-7FABA680F2E8}
22,13113140307,1403.07,ARC 10,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1457,0,0,0,4878,R,4878.000013,1,346.8656174,0.07110816,1681.999998,1,242.0000005,1,7.67041177,0.00526452,4878.000013,1,346.8656174,0.07110816,1681.999998,1,242.0000005,1,7.67041177,0.00526452,{754D7DD4-1039-4EFF-BC70-FE3B0A9D9A16}
23,13113140408,1404.08,ARC 10,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1095,3,0.0009262,0,3239,U,3238.999945,0.99999998,411.9109831,0.12717227,824.9999911,0.99999999,370.9999959,0.99999999,10.49931038,0.00958841,3238.999945,0.99999998,411.9109831,0.12717227,824.9999911,0.99999999,370.9999959,0.99999999,10.49931038,0.00958841,{287CD0D4-C64D-4E2B-A8C5-B6B57A5DC954}
24,13113140407,1404.07,ARC 10,0,0,0,0,1,0,1,1,1,1,1,0,0,1,0,2924,287,0.0372389,0,7707,U,6968.408133,0.9041661,1833.423443,0.23789068,1668.728638,0.92296938,972.9853167,0.88372872,198.3402887,0.06783184,4458.684751,0.57852404,1255.167891,0.16286076,1087.168998,0.60131029,661.7830241,0.6010745,146.5039347,0.05010394,{DBBEE907-AB51-4A37-A759-F9B6543099D8}
25,13113140405,1404.05,ARC 10,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1196,0,0,0,3441,U,3185.554585,0.92576419,256.8146316,0.07463372,764.9604615,0.92275086,477.9261894,0.92801202,15.55890899,0.01300912,2568.059684,0.74631203,205.0218176,0.05958205,634.5771434,0.76547303,371.2914747,0.72095432,12.896842,0.01078331,{A0499E30-E93F-41F4-A6D1-EC6F7CA97E89}
26,13113140404,1404.04,ARC 10,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,2014,125,0.0225917,0,5533,U,4648.987928,0.84022916,857.179581,0.15492131,1201.964578,0.83296229,730.8417636,0.88694389,40.75086123,0.02023379,3308.566586,0.59796974,688.2630399,0.12439238,813.5383149,0.56378262,612.1552768,0.74290689,30.37271342,0.01508079,{269FB77A-0B04-4862-AA4A-8B723182FFD2}
27,13113140206,1402.06,ARC 10,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1625,0,0,0,4465,U,3024.434147,0.67736487,294.4107278,0.06593745,794.1893623,0.64778904,435.1055039,0.6984037,37.11837425,0.02284208,836.8332564,0.18742066,64.44993769,0.01443448,189.7555615,0.15477615,133.3032015,0.21396983,2.14875545,0.00132231,{5D6ADE06-6EDF-44A9-9E92-1B697B21D430}
28,13113140203,1402.03,ARC 10,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1992,0,0,0,5743,U,5291.931732,0.92145773,1005.263672,0.17504156,1416.229069,0.91546805,570.0368524,0.94690507,7.71166559,0.00387132,3464.11258,0.60318868,707.7583211,0.12323843,907.3452509,0.58651923,375.5477282,0.62383344,2.87891687,0.00144524,{93B7A410-91BF-4E56-A44E-D4F611BF71AB}
29,13113140204,1402.04,ARC 10,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1689,0,0,0,5190,R,5190.000006,1,1492.191097,0.28751274,1469.000002,1,506.0000041,1.00000001,59.21487323,0.03505913,4960.858525,0.95584943,1483.485586,0.28583537,1381.528995,0.94045541,495.3648521,0.97898192,57.15406791,0.033839,{BD84B5A1-C8FA-4AC4-B494-1C60C2CCDFFA}
30,13113140305,1403.05,ARC 10,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1506,5,0.0010672,0,4685,R,4684.941874,0.99998759,388.6817838,0.08296303,1535.992531,0.99999514,468.9860546,0.99997027,21.69995025,0.014409,4635.005701,0.98932886,384.5388764,0.08207874,1529.223463,0.99558819,457.2180606,0.97487859,21.4114794,0.01421745,{42F761FA-DFBB-4397-902A-590B05B33523}
31,13113140403,1404.03,ARC 10,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1938,0,0,0,5282,U,4338.304348,0.82133744,732.8603929,0.13874676,955.4867879,0.81735397,726.1157815,0.80769275,20.09367458,0.01036825,2835.481028,0.53681958,359.7959192,0.06811736,615.8373857,0.526807,462.0427841,0.51395193,12.13150071,0.0062598,{23AFB2BA-A588-4BA9-BFC2-9A0880E1188C}
32,13113140406,1404.06,ARC 10,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1437,0,0,0,3566,R,2865.350057,0.80351937,970.9508661,0.27228011,730.4774433,0.84253454,425.5566779,0.70108184,82.29745181,0.05727032,1425.376493,0.39971298,553.7976824,0.15529941,372.2822051,0.42939124,168.1569678,0.2770296,45.60669359,0.03173743,{3CBFFD71-0A6B-4684-BBE8-7728B88C1341}
33,13113140306,1403.06,ARC 10,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,2674,0,0,0,7234,U,6205.786448,0.85786376,450.9944413,0.06234372,1718.756326,0.86326285,707.0111318,0.77693531,15.6200858,0.00584147,3666.351842,0.50682221,180.9468009,0.02501338,1035.060008,0.51986942,392.8712447,0.43172664,5.59241803,0.00209141,{26401A5C-1AD0-4CFA-A94A-71A24F1DB1DA}
34,13113140102,1401.02,ARC 10,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,2010,3,0.0005519,0,5436,U,5207.382944,0.95794388,791.5296447,0.14560884,1111.274349,0.96716654,837.3302713,0.94293949,18.14550232,0.00902761,4096.033438,0.75350137,623.5386465,0.11470542,873.8277813,0.76051156,654.7248131,0.73730272,18.14550232,0.00902761,{CDA0E39D-72E7-45A9-ACCA-F0099AABB2FA}
35,13113140101,1401.01,ARC 10,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,2588,10,0.0013501,0,7407,U,7406.999956,0.99999999,1552.696891,0.20962561,1782.999991,1,996.9999931,0.99999999,61.55947282,0.0237865,7406.999956,0.99999999,1552.696891,0.20962561,1782.999991,1,996.9999931,0.99999999,61.55947282,0.0237865,{0CE73015-9DF4-4EAA-AC73-0F3AC7596697}
36,13113140502,1405.02,ARC 10,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1134,6,0.0018067,0,3321,R,3321.000032,1.00000001,646.4800438,0.19466427,887.0000075,1.00000001,356.0000033,1.00000001,33.70538825,0.02972256,3321.000032,1.00000001,646.4800438,0.19466427,887.0000075,1.00000001,356.0000033,1.00000001,33.70538825,0.02972256,{8FB59335-7025-4943-AAC5-CE8C09A6674E}
37,13113140501,1405.01,ARC 10,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1998,0,0,0,5890,R,5889.999961,0.99999999,861.5516138,0.14627362,1547.999995,1,771.9999955,0.99999999,79.27385967,0.03967661,5889.999961,0.99999999,861.5516138,0.14627362,1547.999995,1,771.9999955,0.99999999,79.27385967,0.03967661,{D72E72E5-9105-447A-B70F-7CAA6922556B}
38,13247060404,604.04,ARC 10,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1991,0,0,0,5643,U,5311.053768,0.94117557,1379.426441,0.24444913,1349.474303,0.95234601,593.9949634,0.90272791,27.64097424,0.01388296,3855.298535,0.68320017,1113.646437,0.19735007,995.1716169,0.70230883,430.2666615,0.6539007,24.37984682,0.01224503,{88A37328-77CB-4C25-B816-0B0B44AFFAE6}
39,13247060304,603.04,ARC 10,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,2259,3,0.0005366,1,5591,U,4394.124867,0.78592825,1270.377437,0.22721829,1134.666653,0.78687008,533.5765434,0.75899935,171.930083,0.07610893,1553.688914,0.27789106,383.1712762,0.06853359,379.7711576,0.26336419,220.4323573,0.31355954,27.02351057,0.0119626,{6C9073A8-818D-4F5D-8D2B-E603B9F554B4}
40,13247060101,601.01,ARC 10,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1237,4,0.0011608,0,3446,U,3446.000032,1.00000001,959.4506649,0.27842445,740.0000089,1.00000001,535.0000034,1.00000001,40.41119036,0.03266871,3266.120292,0.94780043,901.6321759,0.26164602,699.8854059,0.94579109,497.7910712,0.9304506,39.08764515,0.03159874,{648D3F98-FC96-4460-B059-81218CD60838}
41,13247060202,602.02,ARC 10,0,0,0,0,1,0,1,1,1,1,1,0,0,1,0,3449,5,0.000523,0,9561,U,9551.839009,0.99904184,2493.246868,0.2607726,2477.27206,0.99930297,985.1670358,0.99814289,141.5383659,0.04103751,9475.612719,0.99106921,2474.424684,0.25880396,2460.504872,0.99253928,973.2564357,0.98607542,140.1059473,0.04062219,{8ABD3CCF-54F9-450B-B692-5DA24952AA14}
42,13247060201,602.01,ARC 10,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,1268,495,0.1026758,1,4821,R,4821.000023,1,2524.561037,0.52365921,1390.000003,1,377.0000042,1.00000001,207.1488123,0.16336657,4821.000023,1,2524.561037,0.52365921,1390.000003,1,377.0000042,1.00000001,207.1488123,0.16336657,{2335C093-B958-4712-B44F-7285794B5BCE}
43,13247060306,603.06,ARC 10,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,942,5,0.0018484,0,2705,U,2435.205704,0.90026089,666.4677653,0.24638365,692.0553339,0.91906419,244.7778758,0.86800665,33.2697693,0.03531823,1295.643854,0.47898109,354.592161,0.13108768,384.6471706,0.51081962,121.7278651,0.4316591,17.43639857,0.01850998,{541D86E2-EE1B-4D87-B728-324815579F6D}
44,13247060407,604.07,ARC 10,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1189,0,0,0,3294,U,3203.148093,0.97241897,581.4007724,0.17650297,806.1309612,0.97358812,334.1936753,0.97432558,0,0,2108.978725,0.64024855,264.7567016,0.08037544,536.9535013,0.64849457,222.4843999,0.64864257,0,0,{0B0FF392-4A7C-47F7-BFC0-E66168934CB0}
45,13247060403,604.03,ARC 10,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1235,11,0.0030873,0,3563,R,3499.996193,0.9823172,493.0378856,0.13837718,859.8369616,0.98605156,476.3243208,0.982112,8.0935252,0.00655346,3206.262826,0.8998773,462.1780949,0.129716,793.3810861,0.9098407,435.268648,0.89746113,8.0935252,0.00655346,{CA7C8BFF-0EF1-4B6D-B575-B48C9022AE28}
46,13247060406,604.06,ARC 10,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1883,0,0,0,5323,U,4687.662993,0.88064306,896.2809637,0.16837891,1213.209585,0.88297641,511.6764194,0.84996083,28.93149071,0.01536457,3172.69181,0.59603453,632.2029804,0.11876817,840.1298817,0.61144824,316.489905,0.52573074,21.33186447,0.01132866,{6094AB4E-42D4-40E3-86F1-2D28BF7254AF}
47,13247060305,603.05,ARC 10,1,1,1,0,1,0,1,1,1,1,1,0,0,0,0,1838,9,0.0017644,1,5101,U,2068.908051,0.40558872,870.68478,0.17068904,625.3536753,0.39454491,173.8931396,0.4940146,29.08482108,0.01582417,1544.99998,0.30288178,525.1692448,0.10295417,497.999991,0.31419558,103.9999994,0.29545454,0,0,{08C575CF-D5EA-4952-B9AC-02D6E4E94C69}
48,13247060309,603.09,ARC 10,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1977,18,0.0030151,1,5970,U,5252.122367,0.87975249,2667.019293,0.4467369,1599.303791,0.87970506,446.2175857,0.88887965,192.1218537,0.09717848,2316.316311,0.38799268,1174.314011,0.19670251,798.3674219,0.439146,143.8604974,0.2865747,103.6936661,0.05245001,{04634CC4-F7AF-4375-922E-9730EFE70DB1}
49,13247060308,603.08,ARC 10,0,0,0,0,1,0,1,1,1,1,1,0,0,1,0,2676,273,0.0382567,0,7136,U,6378.331639,0.8938245,2185.470228,0.30625984,1855.98884,0.91699053,676.463093,0.74418382,256.6380491,0.09590361,2845.392576,0.39873775,893.656195,0.12523209,904.7018937,0.4469871,151.0208097,0.1661395,85.14011436,0.03181619,{D261854B-1BB7-4020-8BF1-E39B2758BFDB}
50,13247060405,604.05,ARC 10,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,2393,41,0.0059035,0,6945,R,6943.268318,0.99975066,1350.42798,0.19444607,1760.618905,0.99978359,838.7916274,0.99975164,41.85604477,0.01749103,6761.087102,0.97351866,1330.953861,0.19164202,1720.319174,0.97689902,811.3828905,0.9670833,40.66862979,0.01699483,{E47A9DB2-D78E-4010-B88B-3CE859558064}
51,13247060307,603.07,ARC 10,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,3706,0,0,0,10647,U,9574.602648,0.89927704,2563.60998,0.24078238,2741.823855,0.898664,832.7218303,0.89539982,44.11096684,0.01190258,4923.83444,0.46246214,957.9293772,0.08997176,1339.245266,0.43895289,480.5111996,0.51667871,21.50073208,0.0058016,{7B855777-940A-45C1-BD19-81DF13161A1E}
52,13247060102,601.02,ARC 10,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1984,0,0,0,5469,R,5469.000011,1,1310.260778,0.23957959,1380.000003,1,562.0000058,1.00000001,63.3011573,0.03190583,5384.796164,0.98460343,1286.844539,0.23529796,1366.22536,0.99001838,551.6963554,0.98166611,62.08337443,0.03129202,{00DA7C77-DCAE-4D7F-AC38-E2D6BF3E814A}
53,13067030330,303.3,ARC 10,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1945,9,0.0015773,0,5706,U,4883.355524,0.85582817,432.8273906,0.07585478,1355.524444,0.86174472,526.0104277,0.8389321,21.96204192,0.01129154,3551.36671,0.62239164,263.2603072,0.04613745,1000.038617,0.63575246,350.9535836,0.55973458,21.89875842,0.011259,{BBC06E00-BB74-4292-B0D2-EDAC23967449}
54,13067030328,303.28,ARC 10,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,2279,5,0.0007775,0,6431,U,5372.758301,0.83544679,238.1698977,0.03703466,1377.744614,0.8309678,589.5727544,0.82113197,33.35667724,0.01463654,2455.501257,0.38182262,87.07065771,0.01353921,617.4495336,0.37240623,235.0632144,0.32738609,14.99163921,0.00657817,{72D3367F-ACC2-4B37-8BA8-8503E44097D5}
55,13067030700,307,ARC 10,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1629,26,0.0063539,1,4092,U,3271.418956,0.799467,1215.6433,0.29707803,841.6038064,0.7969733,347.003425,0.80324867,138.2503978,0.08486826,1403.686042,0.34303178,406.3730956,0.09930916,292.8642754,0.27733359,198.5905935,0.45970045,33.38590225,0.02049472,{D49ADCB5-38F2-45AC-B346-494F2F53918F}
56,13067030324,303.24,ARC 10,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1201,3,0.0008718,0,3441,U,3432.813357,0.99762085,276.6552003,0.08039965,861.4467519,0.99704485,264.4488346,0.99792013,15.93400025,0.01326728,2392.327568,0.69524196,189.9721904,0.05520842,613.1302532,0.7096415,180.3527282,0.68057633,10.14448295,0.0084467,{2527403B-52A4-42A3-8B15-E00E31B6314E}
57,13067030312,303.12,ARC 10,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,2377,16,0.0025373,0,6306,U,4898.829481,0.77685212,953.3406967,0.15117994,1038.005776,0.75546272,651.0172035,0.81786081,0,0,1877.392485,0.29771527,413.1833893,0.06552226,372.4406236,0.27106304,278.3450221,0.34967968,0,0,{0EB2A9E6-8567-49E3-8F9B-34E5BC25AFCD}
58,13067030228,302.28,ARC 10,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,2963,6,0.0009384,0,6394,U,6028.798812,0.94288377,2453.715904,0.38375288,1110.543682,0.94113871,326.8887423,0.74802916,30.06896529,0.01014815,4776.014332,0.74695251,2061.259722,0.32237406,862.452357,0.73089183,213.5589271,0.4886932,27.13596255,0.00915827,{30210363-B5B1-4E54-AB73-5375E0F3C272}
59,13067030231,302.31,ARC 10,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,2761,3,0.0003902,0,7688,U,6585.117937,0.856545,754.2889308,0.0981125,1634.623533,0.87319633,784.0703761,0.81504197,23.59177274,0.00854465,3536.556659,0.46000997,384.1176436,0.04996327,902.7901347,0.48225969,417.8193908,0.43432369,17.13784519,0.00620712,{313B9EC7-440D-4535-B296-36B1612DD9BE}
60,13067030230,302.3,ARC 10,0,0,0,0,1,0,1,1,1,1,1,0,0,1,0,5115,234,0.0186128,0,12572,U,8671.52621,0.68974914,2326.246591,0.18503393,2367.932392,0.71430841,608.1704599,0.59160551,102.127236,0.01996622,4741.977774,0.37718563,1134.285705,0.09022317,1272.352914,0.38381687,440.7444454,0.42873973,52.90468302,0.01034305,{00BDA9DA-9CC3-4CEE-AFAE-272D157BD955}
61,13067030311,303.11,ARC 10,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,2209,0,0,0,6010,U,6009.99998,1,711.9494146,0.1184608,1452.000005,1,639.9999976,1,37.25494174,0.01686507,5516.699901,0.91792012,661.316739,0.11003606,1336.97486,0.92078158,576.7512022,0.90117375,37.24234667,0.01685937,{6B6ECBC2-06B7-4264-9D00-08A4ACA38895}
62,13067031001,310.01,ARC 10,0,1,0,1,1,0,0,1,0,1,0,0,0,1,0,1686,44,0.0084372,1,5215,U,2339.966883,0.44869931,1583.85922,0.30371222,746.4043913,0.45072729,110.7966765,0.41342043,127.4878304,0.07561556,129.3924273,0.02481159,87.98093413,0.01687074,46.63748938,0.02816274,3.06896166,0.01145135,7.30297863,0.00433154,{43F26E6D-10DD-4923-A3D1-877D11CF11A1}
63,13067030310,303.1,ARC 10,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,2752,3,0.000371,0,8087,U,7290.408954,0.90149734,1506.617765,0.1863012,1856.848057,0.8974616,434.2798115,0.84654934,0,0,1700.4359,0.21026782,316.556674,0.03914389,422.958051,0.20442632,108.0089008,0.21054367,0,0,{6003571D-96DF-4B01-9048-3CB1B9DFEF5E}
