OBJECTID,GEOID10,NAME10,PLNG_REGION,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,Urban,Rural,LA1and10,LAhalfand10,LA1and20,LATracts_half,LATracts1,LATracts10,LATracts20,HUNVFlag,GroupQuartersFlag,OHU2010,NUMGQTRS,PCTGQTRS,LowIncomeTracts,POP2010,UATYP10,lapophalf,lapophalfshare,lalowihalf,lalowihalfshare,lakidshalf,lakidshalfshare,laseniorshalf,laseniorshalfshare,lahunvhalf,lahunvhalfshare,lapop1,lapop1share,lalowi1,lalowi1share,lakids1,lakids1share,laseniors1,laseniors1share,lahunv1,lahunv1share,GlobalID
11,13045910701,9107.01,ARC 20,1,1,1,0,1,0,1,1,1,1,1,0,0,0,0,2986,783,0.0853778,1,9171,C,8300.92695107,0.90512779,3162.5351494,0.34484082,2146.93496628,0.91048981,659.18853749,0.83230876,45.0702507,0.01509385,7485.06767253,0.81616701,2543.8339503,0.27737803,1977.68016909,0.83871084,594.91544221,0.75115586,30.8035241,0.01031598,{32BEB674-8E4A-474B-A8F6-C06484083E4A}
12,13045910703,9107.03,ARC 20,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,2960,127,0.0159308,1,7972,C,7306.1126587,0.91647173,3265.82231959,0.40966161,1961.74512419,0.9359471,875.19099902,0.86566864,232.19896023,0.07844559,5172.3736831,0.64881757,2320.43872249,0.2910736,1476.54457366,0.70445829,485.79124598,0.48050568,109.61012723,0.03703045,{FCA1D62F-E2E6-48CC-A46E-A3225CE8740D}
13,13045910600,9106,ARC 20,0,0,0,0,1,0,1,1,1,1,1,0,0,1,0,2006,126,0.0226293,0,5568,C,5313.67332074,0.95432351,1533.83155725,0.27547262,1458.76554273,0.9590832,647.4399546,0.95775141,107.19362807,0.0534365,3340.36246226,0.59992142,933.16654197,0.16759457,960.39712054,0.6314248,437.65958908,0.64742543,77.61211579,0.03868999,{46F3C5F8-98F0-4592-A22A-58CA446EB3A4}
14,13045910501,9105.01,ARC 20,1,1,1,0,1,0,1,1,1,1,1,0,0,0,0,2286,2370,0.2670122,1,8876,C,8454.76053404,0.95254175,4772.02556768,0.53763244,1216.93904694,0.90076909,391.74917605,0.92831558,76.66859657,0.03353832,7600.7546959,0.85632658,4398.46725133,0.49554611,977.46982353,0.72351578,314.44270336,0.74512489,66.28789693,0.02899733,{3FD77FEB-E21C-4064-AEFA-4ACD91962F9F}
15,13045910702,9107.02,ARC 20,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,2909,0,0,0,7738,C,7738.00001915,1,1102.17896306,0.14243719,1975.00001158,1.00000001,1011.000003,1,0,0,7738.00001915,1,1102.17896306,0.14243719,1975.00001158,1.00000001,1011.000003,1,0,0,{A76BC087-4EE7-4F4F-ADA1-9C131C970BCE}
16,13045911200,9112,ARC 20,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,2201,21,0.0036662,1,5728,R,5460.92300512,0.95337343,2208.38434849,0.38554196,1267.6991807,0.95244116,827.09180283,0.94416872,117.28574716,0.05328748,4651.60336798,0.81208159,1781.30034299,0.31098121,1041.45747129,0.78246241,698.25657559,0.79709655,102.57979335,0.04660599,{D5A918BA-4B0B-40DC-89E2-44A46B186A30}
17,13045910400,9104,ARC 20,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1302,0,0,1,3281,R,2976.41093952,0.90716578,1193.68096687,0.3638162,676.81865267,0.90604907,507.86802323,0.91015775,96.66541788,0.07424379,2345.02891262,0.71472993,858.97944566,0.26180416,522.26169658,0.69914551,402.78192485,0.72183141,76.47436458,0.05873607,{1A2F1C55-CC2D-471E-977C-C4A8A10D5F59}
18,13113140207,1402.07,ARC 10,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,2208,0,0,0,5530,U,4737.41726881,0.85667582,138.03798068,0.02496166,1184.89315015,0.88358922,661.32330931,0.90344714,32.88560275,0.01489384,3105.41548861,0.56155795,81.87453209,0.01480552,775.34706483,0.57818573,443.8088786,0.60629628,8.78247646,0.00397757,{4CE75EC9-6C84-4B61-95CB-0559E9674103}
19,13113140208,1402.08,ARC 10,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,2749,118,0.0152988,0,7713,U,6536.6370642,0.84748309,1006.02446164,0.13043232,1964.86341089,0.84546618,669.23604166,0.91425689,22.71964435,0.00826469,3251.8045805,0.42160049,528.04897904,0.0684622,994.09266411,0.42775072,272.64148015,0.37246104,11.68103918,0.0042492,{C851E0E2-AAB8-4426-996B-6C5C2B86EBC5}
20,13113140303,1403.03,ARC 10,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1702,0,0,0,4550,U,3984.20904337,0.87565034,526.73998125,0.11576703,1060.70696535,0.85887204,551.95202366,0.92454275,40.04378821,0.02352749,1900.69806546,0.41773584,259.81684778,0.0571026,476.43493486,0.38577728,307.16076199,0.51450714,20.31847836,0.011938,{F2CD1FBD-EB46-4D48-8ED2-E03103BB9314}
21,13113140304,1403.04,ARC 10,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,2231,0,0,0,5757,U,4915.82645277,0.85388683,912.24718594,0.15845878,1248.35868795,0.86691576,641.97315291,0.80046528,10.76036119,0.00482311,3217.26722928,0.5588444,663.86680036,0.11531471,855.47325425,0.59407865,381.66785325,0.47589508,9.13107906,0.00409282,{8E4E4DC8-A090-4CC8-AA69-7FABA680F2E8}
22,13113140307,1403.07,ARC 10,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1457,0,0,0,4878,R,4878.00001314,1,346.86561744,0.07110816,1681.99999798,1,242.00000045,1,7.67041177,0.00526452,4878.00001314,1,346.86561744,0.07110816,1681.99999798,1,242.00000045,1,7.67041177,0.00526452,{754D7DD4-1039-4EFF-BC70-FE3B0A9D9A16}
23,13113140408,1404.08,ARC 10,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1095,3,0.0009262,0,3239,U,3238.99994514,0.99999998,411.9109831,0.12717227,824.99999112,0.99999999,370.99999594,0.99999999,10.49931038,0.00958841,3238.99994514,0.99999998,411.9109831,0.12717227,824.99999112,0.99999999,370.99999594,0.99999999,10.49931038,0.00958841,{287CD0D4-C64D-4E2B-A8C5-B6B57A5DC954}
24,13113140407,1404.07,ARC 10,0,0,0,0,1,0,1,1,1,1,1,0,0,1,0,2924,287,0.0372389,0,7707,U,6968.40813344,0.9041661,1833.42344255,0.23789068,1668.72863785,0.92296938,972.98531673,0.88372872,198.34028867,0.06783184,4458.68475098,0.57852404,1255.16789061,0.16286076,1087.16899829,0.60131029,661.78302411,0.6010745,146.50393466,0.05010394,{DBBEE907-AB51-4A37-A759-F9B6543099D8}
25,13113140405,1404.05,ARC 10,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1196,0,0,0,3441,U,3185.55458534,0.92576419,256.81463161,0.07463372,764.96046149,0.92275086,477.92618944,0.92801202,15.55890899,0.01300912,2568.05968434,0.74631203,205.02181764,0.05958205,634.57714335,0.76547303,371.29147467,0.72095432,12.896842,0.01078331,{A0499E30-E93F-41F4-A6D1-EC6F7CA97E89}
26,13113140404,1404.04,ARC 10,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,2014,125,0.0225917,0,5533,U,4648.98792813,0.84022916,857.17958102,0.15492131,1201.96457834,0.83296229,730.84176359,0.88694389,40.75086123,0.02023379,3308.56658609,0.59796974,688.26303991,0.12439238,813.53831492,0.56378262,612.15527677,0.74290689,30.37271342,0.01508079,{269FB77A-0B04-4862-AA4A-8B723182FFD2}
27,13113140206,1402.06,ARC 10,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1625,0,0,0,4465,U,3024.43414724,0.67736487,294.41072777,0.06593745,794.18936232,0.64778904,435.10550394,0.6984037,37.11837425,0.02284208,836.83325638,0.18742066,64.44993769,0.01443448,189.75556154,0.15477615,133.30320151,0.21396983,2.14875545,0.00132231,{5D6ADE06-6EDF-44A9-9E92-1B697B21D430}
28,13113140203,1402.03,ARC 10,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1992,0,0,0,5743,U,5291.93173156,0.92145773,1005.2636724,0.17504156,1416.22906926,0.91546805,570.03685239,0.94690507,7.71166559,0.00387132,3464.11258029,0.60318868,707.75832113,0.12323843,907.34525087,0.58651923,375.54772819,0.62383344,2.87891687,0.00144524,{93B7A410-91BF-4E56-A44E-D4F611BF71AB}
29,13113140204,1402.04,ARC 10,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1689,0,0,0,5190,R,5190.00000552,1,1492.19109664,0.28751274,1469.00000183,1,506.0000041,1.00000001,59.21487323,0.03505913,4960.85852454,0.95584943,1483.48558582,0.28583537,1381.52899492,0.94045541,495.36485205,0.97898192,57.15406791,0.033839,{BD84B5A1-C8FA-4AC4-B494-1C60C2CCDFFA}
30,13113140305,1403.05,ARC 10,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1506,5,0.0010672,0,4685,R,4684.94187362,0.99998759,388.68178383,0.08296303,1535.9925307,0.99999514,468.98605462,0.99997027,21.69995025,0.014409,4635.00570058,0.98932886,384.53887639,0.08207874,1529.22346321,0.99558819,457.21806062,0.97487859,21.4114794,0.01421745,{42F761FA-DFBB-4397-902A-590B05B33523}
31,13113140403,1404.03,ARC 10,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1938,0,0,0,5282,U,4338.30434844,0.82133744,732.86039286,0.13874676,955.48678787,0.81735397,726.11578148,0.80769275,20.09367458,0.01036825,2835.48102771,0.53681958,359.79591923,0.06811736,615.83738569,0.526807,462.04278407,0.51395193,12.13150071,0.0062598,{23AFB2BA-A588-4BA9-BFC2-9A0880E1188C}
32,13113140406,1404.06,ARC 10,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1437,0,0,0,3566,R,2865.35005682,0.80351937,970.95086613,0.27228011,730.47744333,0.84253454,425.55667787,0.70108184,82.29745181,0.05727032,1425.37649295,0.39971298,553.7976824,0.15529941,372.28220511,0.42939124,168.1569678,0.2770296,45.60669359,0.03173743,{3CBFFD71-0A6B-4684-BBE8-7728B88C1341}
33,13113140306,1403.06,ARC 10,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,2674,0,0,0,7234,U,6205.78644823,0.85786376,450.99444133,0.06234372,1718.7563261,0.86326285,707.01113181,0.77693531,15.6200858,0.00584147,3666.35184207,0.50682221,180.94680091,0.02501338,1035.06000849,0.51986942,392.87124469,0.43172664,5.59241803,0.00209141,{26401A5C-1AD0-4CFA-A94A-71A24F1DB1DA}
34,13113140102,1401.02,ARC 10,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,2010,3,0.0005519,0,5436,U,5207.38294407,0.95794388,791.5296447,0.14560884,1111.27434875,0.96716654,837.33027127,0.94293949,18.14550232,0.00902761,4096.03343753,0.75350137,623.53864649,0.11470542,873.82778127,0.76051156,654.7248131,0.73730272,18.14550232,0.00902761,{CDA0E39D-72E7-45A9-ACCA-F0099AABB2FA}
35,13113140101,1401.01,ARC 10,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,2588,10,0.0013501,0,7407,U,7406.99995635,0.99999999,1552.69689091,0.20962561,1782.99999148,1,996.99999308,0.99999999,61.55947282,0.0237865,7406.99995635,0.99999999,1552.69689091,0.20962561,1782.99999148,1,996.99999308,0.99999999,61.55947282,0.0237865,{0CE73015-9DF4-4EAA-AC73-0F3AC7596697}
36,13113140502,1405.02,ARC 10,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1134,6,0.0018067,0,3321,R,3321.00003222,1.00000001,646.48004379,0.19466427,887.00000749,1.00000001,356.00000328,1.00000001,33.70538825,0.02972256,3321.00003222,1.00000001,646.48004379,0.19466427,887.00000749,1.00000001,356.00000328,1.00000001,33.70538825,0.02972256,{8FB59335-7025-4943-AAC5-CE8C09A6674E}
37,13113140501,1405.01,ARC 10,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1998,0,0,0,5890,R,5889.99996135,0.99999999,861.55161384,0.14627362,1547.99999545,1,771.99999554,0.99999999,79.27385967,0.03967661,5889.99996135,0.99999999,861.55161384,0.14627362,1547.99999545,1,771.99999554,0.99999999,79.27385967,0.03967661,{D72E72E5-9105-447A-B70F-7CAA6922556B}
38,13247060404,604.04,ARC 10,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1991,0,0,0,5643,U,5311.05376833,0.94117557,1379.42644067,0.24444913,1349.4743025,0.95234601,593.99496341,0.90272791,27.64097424,0.01388296,3855.29853541,0.68320017,1113.64643669,0.19735007,995.17161688,0.70230883,430.26666147,0.6539007,24.37984682,0.01224503,{88A37328-77CB-4C25-B816-0B0B44AFFAE6}
39,13247060304,603.04,ARC 10,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,2259,3,0.0005366,1,5591,U,4394.12486661,0.78592825,1270.37743678,0.22721829,1134.66665346,0.78687008,533.57654339,0.75899935,171.93008296,0.07610893,1553.68891441,0.27789106,383.17127615,0.06853359,379.77115759,0.26336419,220.43235728,0.31355954,27.02351057,0.0119626,{6C9073A8-818D-4F5D-8D2B-E603B9F554B4}
40,13247060101,601.01,ARC 10,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1237,4,0.0011608,0,3446,U,3446.00003171,1.00000001,959.45066486,0.27842445,740.00000888,1.00000001,535.00000339,1.00000001,40.41119036,0.03266871,3266.12029184,0.94780043,901.63217592,0.26164602,699.88540592,0.94579109,497.79107116,0.9304506,39.08764515,0.03159874,{648D3F98-FC96-4460-B059-81218CD60838}
41,13247060202,602.02,ARC 10,0,0,0,0,1,0,1,1,1,1,1,0,0,1,0,3449,5,0.000523,0,9561,U,9551.83900943,0.99904184,2493.24686763,0.2607726,2477.27206012,0.99930297,985.16703584,0.99814289,141.53836588,0.04103751,9475.61271933,0.99106921,2474.42468358,0.25880396,2460.50487235,0.99253928,973.25643571,0.98607542,140.10594733,0.04062219,{8ABD3CCF-54F9-450B-B692-5DA24952AA14}
42,13247060201,602.01,ARC 10,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,1268,495,0.1026758,1,4821,R,4821.00002302,1,2524.5610374,0.52365921,1390.00000263,1,377.00000422,1.00000001,207.14881227,0.16336657,4821.00002302,1,2524.5610374,0.52365921,1390.00000263,1,377.00000422,1.00000001,207.14881227,0.16336657,{2335C093-B958-4712-B44F-7285794B5BCE}
43,13247060306,603.06,ARC 10,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,942,5,0.0018484,0,2705,U,2435.20570427,0.90026089,666.46776534,0.24638365,692.05533391,0.91906419,244.77787581,0.86800665,33.2697693,0.03531823,1295.64385382,0.47898109,354.59216099,0.13108768,384.64717058,0.51081962,121.72786511,0.4316591,17.43639857,0.01850998,{541D86E2-EE1B-4D87-B728-324815579F6D}
44,13247060407,604.07,ARC 10,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1189,0,0,0,3294,U,3203.14809314,0.97241897,581.40077236,0.17650297,806.1309612,0.97358812,334.19367529,0.97432558,0,0,2108.97872452,0.64024855,264.75670158,0.08037544,536.95350133,0.64849457,222.48439986,0.64864257,0,0,{0B0FF392-4A7C-47F7-BFC0-E66168934CB0}
45,13247060403,604.03,ARC 10,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1235,11,0.0030873,0,3563,R,3499.99619339,0.9823172,493.03788555,0.13837718,859.83696156,0.98605156,476.32432084,0.982112,8.0935252,0.00655346,3206.26282611,0.8998773,462.17809487,0.129716,793.38108611,0.9098407,435.26864798,0.89746113,8.0935252,0.00655346,{CA7C8BFF-0EF1-4B6D-B575-B48C9022AE28}
46,13247060406,604.06,ARC 10,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1883,0,0,0,5323,U,4687.66299253,0.88064306,896.2809637,0.16837891,1213.20958536,0.88297641,511.67641944,0.84996083,28.93149071,0.01536457,3172.69181016,0.59603453,632.20298038,0.11876817,840.1298817,0.61144824,316.48990504,0.52573074,21.33186447,0.01132866,{6094AB4E-42D4-40E3-86F1-2D28BF7254AF}
47,13247060305,603.05,ARC 10,1,1,1,0,1,0,1,1,1,1,1,0,0,0,0,1838,9,0.0017644,1,5101,U,2068.9080507,0.40558872,870.68477996,0.17068904,625.35367525,0.39454491,173.89313959,0.4940146,29.08482108,0.01582417,1544.99997971,0.30288178,525.1692448,0.10295417,497.99999104,0.31419558,103.99999938,0.29545454,0,0,{08C575CF-D5EA-4952-B9AC-02D6E4E94C69}
48,13247060309,603.09,ARC 10,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1977,18,0.0030151,1,5970,U,5252.12236733,0.87975249,2667.01929289,0.4467369,1599.30379147,0.87970506,446.21758567,0.88887965,192.12185372,0.09717848,2316.31631119,0.38799268,1174.31401089,0.19670251,798.36742189,0.439146,143.86049741,0.2865747,103.69366613,0.05245001,{04634CC4-F7AF-4375-922E-9730EFE70DB1}
49,13247060308,603.08,ARC 10,0,0,0,0,1,0,1,1,1,1,1,0,0,1,0,2676,273,0.0382567,0,7136,U,6378.33163943,0.8938245,2185.47022783,0.30625984,1855.98883957,0.91699053,676.46309299,0.74418382,256.63804907,0.09590361,2845.3925759,0.39873775,893.65619497,0.12523209,904.70189366,0.4469871,151.02080966,0.1661395,85.14011436,0.03181619,{D261854B-1BB7-4020-8BF1-E39B2758BFDB}
50,13247060405,604.05,ARC 10,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,2393,41,0.0059035,0,6945,R,6943.26831845,0.99975066,1350.42797976,0.19444607,1760.61890456,0.99978359,838.79162739,0.99975164,41.85604477,0.01749103,6761.0871023,0.97351866,1330.95386063,0.19164202,1720.3191738,0.97689902,811.38289045,0.9670833,40.66862979,0.01699483,{E47A9DB2-D78E-4010-B88B-3CE859558064}
51,13247060307,603.07,ARC 10,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,3706,0,0,0,10647,U,9574.6026477,0.89927704,2563.60998035,0.24078238,2741.82385526,0.898664,832.7218303,0.89539982,44.11096684,0.01190258,4923.83443986,0.46246214,957.92937718,0.08997176,1339.2452656,0.43895289,480.51119963,0.51667871,21.50073208,0.0058016,{7B855777-940A-45C1-BD19-81DF13161A1E}
52,13247060102,601.02,ARC 10,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1984,0,0,0,5469,R,5469.000011,1,1310.26077804,0.23957959,1380.00000324,1,562.00000579,1.00000001,63.3011573,0.03190583,5384.79616383,0.98460343,1286.84453948,0.23529796,1366.22535984,0.99001838,551.6963554,0.98166611,62.08337443,0.03129202,{00DA7C77-DCAE-4D7F-AC38-E2D6BF3E814A}
53,13067030330,303.30,ARC 10,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1945,9,0.0015773,0,5706,U,4883.35552438,0.85582817,432.8273906,0.07585478,1355.52444367,0.86174472,526.01042769,0.8389321,21.96204192,0.01129154,3551.36670967,0.62239164,263.26030718,0.04613745,1000.03861728,0.63575246,350.95358357,0.55973458,21.89875842,0.011259,{BBC06E00-BB74-4292-B0D2-EDAC23967449}
54,13067030328,303.28,ARC 10,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,2279,5,0.0007775,0,6431,U,5372.75830124,0.83544679,238.1698977,0.03703466,1377.74461372,0.8309678,589.57275438,0.82113197,33.35667724,0.01463654,2455.50125657,0.38182262,87.07065771,0.01353921,617.44953364,0.37240623,235.06321438,0.32738609,14.99163921,0.00657817,{72D3367F-ACC2-4B37-8BA8-8503E44097D5}
55,13067030700,307,ARC 10,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1629,26,0.0063539,1,4092,U,3271.41895598,0.799467,1215.64330034,0.29707803,841.60380643,0.7969733,347.00342502,0.80324867,138.25039779,0.08486826,1403.68604151,0.34303178,406.37309557,0.09930916,292.86427543,0.27733359,198.59059346,0.45970045,33.38590225,0.02049472,{D49ADCB5-38F2-45AC-B346-494F2F53918F}
56,13067030324,303.24,ARC 10,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1201,3,0.0008718,0,3441,U,3432.81335708,0.99762085,276.65520027,0.08039965,861.44675194,0.99704485,264.44883456,0.99792013,15.93400025,0.01326728,2392.32756765,0.69524196,189.97219039,0.05520842,613.13025319,0.7096415,180.3527282,0.68057633,10.14448295,0.0084467,{2527403B-52A4-42A3-8B15-E00E31B6314E}
57,13067030312,303.12,ARC 10,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,2377,16,0.0025373,0,6306,U,4898.82948097,0.77685212,953.3406967,0.15117994,1038.0057756,0.75546272,651.01720353,0.81786081,0,0,1877.39248528,0.29771527,413.18338927,0.06552226,372.44062361,0.27106304,278.34502212,0.34967968,0,0,{0EB2A9E6-8567-49E3-8F9B-34E5BC25AFCD}
58,13067030228,302.28,ARC 10,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,2963,6,0.0009384,0,6394,U,6028.79881245,0.94288377,2453.71590435,0.38375288,1110.54368233,0.94113871,326.88874226,0.74802916,30.06896529,0.01014815,4776.01433174,0.74695251,2061.25972205,0.32237406,862.45235696,0.73089183,213.55892712,0.4886932,27.13596255,0.00915827,{30210363-B5B1-4E54-AB73-5375E0F3C272}
59,13067030231,302.31,ARC 10,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,2761,3,0.0003902,0,7688,U,6585.11793706,0.856545,754.28893082,0.0981125,1634.62353303,0.87319633,784.07037609,0.81504197,23.59177274,0.00854465,3536.55665878,0.46000997,384.11764361,0.04996327,902.79013465,0.48225969,417.81939079,0.43432369,17.13784519,0.00620712,{313B9EC7-440D-4535-B296-36B1612DD9BE}
60,13067030230,302.30,ARC 10,0,0,0,0,1,0,1,1,1,1,1,0,0,1,0,5115,234,0.0186128,0,12572,U,8671.52621006,0.68974914,2326.24659066,0.18503393,2367.93239209,0.71430841,608.17045989,0.59160551,102.12723598,0.01996622,4741.97777428,0.37718563,1134.2857053,0.09022317,1272.35291436,0.38381687,440.7444454,0.42873973,52.90468302,0.01034305,{00BDA9DA-9CC3-4CEE-AFAE-272D157BD955}
61,13067030311,303.11,ARC 10,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,2209,0,0,0,6010,U,6009.99997977,1,711.9494146,0.1184608,1452.00000539,1,639.99999763,1,37.25494174,0.01686507,5516.6999012,0.91792012,661.31673896,0.11003606,1336.97486009,0.92078158,576.75120223,0.90117375,37.24234667,0.01685937,{6B6ECBC2-06B7-4264-9D00-08A4ACA38895}
